PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
232875689,20154569,0,2020-08-20T18:33:00,"3000 Block Zephyr Ave Pittsburgh, PA 15204",Y,Sheraden,6,99,8106 Shots Fired,2018,,,0,0
232878347,20154659,99,2020-08-20T17:08:00,"3800 Block Pier St Pittsburgh, PA 15213",N,Central Oakland,4,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,405,3,3,-79.9540351148473,40.4392424032906
233000158,20157067,6,2020-08-24T09:00:00,"1700 Block Parkfield St Pittsburgh, PA 15210",N,Carrick,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2901,,,0,0
233006684,20157109,0,2020-08-22T07:00:00,"900 Block Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,99,9999 9999 - (Misc. Incident): ,201,6,6,-79.9979394801918,40.4429453058994
233018177,20157205,0,2020-08-24T12:50:00,"200 Block 5th Ave Pittsburgh, PA 15222",Y,Central Business District,2,99,9999 9999 - (Misc. Incident): ,201,6,6,-80.0020771081555,40.4412363988277
233021392,20157219,6,2020-08-24T13:10:00,"Wood St & 3rd Ave Pittsburgh, PA 15222",Y,Central Business District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,201,6,6,-80.0016403503325,40.4388861888839
233031624,20157291,0,2020-08-24T15:10:00,"900 Block Itin St Pittsburgh, PA 15212",N,East Allegheny,1,99,9993 PFA Service with Weapons Supplement,2304,1,1,-79.9954930470479,40.4581362254477
233036356,20156857,99,2020-08-23T21:30:00,"200 Block Davenport Way Pittsburgh, PA 15219",Y,Middle Hill,2,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,501,6,3,-79.9810587722273,40.4459792650082
232947716,20155707,6,2020-08-22T02:11:00,"1400 Block Benton Ave Pittsburgh, PA 15212",N,Brighton Heights,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2701,1,1,-80.0370203195019,40.4843519337692
232948367,20155746,6,2020-08-22T10:35:00,"6700 Block Beacon St Pittsburgh, PA 15217",N,Squirrel Hill South,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,1408,5,3,-79.9133787355835,40.4364848366589
232948700,20155750,6,2020-08-22T09:00:00,"200 Block Federal St S Pittsburgh, PA 15212",N,North Shore,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2205,1,6,-80.0039635417819,40.4484213102204
232950718,20155811,6,2020-08-21T02:09:00,"7100 Block Bennett St Pittsburgh, PA 15208",N,Homewood South,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1303,9,2,-79.898864804895,40.4569634382797
233081861,20157799,0,2020-08-25T09:40:00,"900 Block Washington Blvd Pittsburgh, PA 15206",N,Larimer,5,99,9997 Overdose Death,1204,9,2,-79.9071294954201,40.4599082540767
233084377,20157890,10,2020-08-25T10:00:00,"2000 Block Wylie Ave Pittsburgh, PA 15219",N,Middle Hill,2,HARRASSMENT,2709 Harassment (Non-Specific),501,6,3,-79.9807564639901,40.4442495006532
233021061,20157220,14,2020-08-24T06:00:00,"4300 Block Winterburn Ave Pittsburgh, PA 15207",N,Greenfield,4,CRIM MISCHIEF,3304 Criminal Mischief.,1516,5,3,-79.940081007277,40.4210732542092
233091664,20157896,99,2020-08-25T13:00:00,"1400 Block Chicago St Pittsburgh, PA 15214",N,Northview Heights,1,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),2609,,,0,0
233093752,20157957,6,2020-08-25T13:00:00,"1900 Block Warren St Pittsburgh, PA 15212",N,Fineview,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2509,1,1,-80.0025187485502,40.4630622440839
232881540,20154691,18,2020-08-20T21:01:00,"Forsythe St & Mullins St Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,STOLEN PROPERTY - OTHER,13(a)(31) Marijuana: Possession Small Amount / 13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 5121 Escape. / 4303 General Lighting Requirements. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 4524 Windshield Obstructions and Wipers.,2715,1,1,-80.0321128162817,40.4708589762548
233118201,20158151,6,2020-08-23T08:00:00,"6300 Block Shakespeare St Pittsburgh, PA 15206",Y,Shadyside,4,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 3925 Receiving Stolen Property.",708,,,0,0
233198822,20158896,10,2020-08-26T18:25:00,"3100 Block Banksville Ave Pittsburgh, PA 15216",Y,Banksville,6,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",2023,2,5,-80.0434542351477,40.4010772517516
233198840,20158899,27,2020-08-26T20:10:00,"2300 Block Brighton Rd Pittsburgh, PA 15212",N,Perry South,1,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,2614,6,1,-80.0238664225369,40.4646843612355
